part1
0,07,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
0,58,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
1,08,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
1,58,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
2,03,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
2,55,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
3,07,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
3,57,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
4,08,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
4,52,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
5,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
5,55,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
6,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
6,52,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
7,03,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
7,53,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
8,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
8,54,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
9,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
9,54,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
10,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
10,53,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
11,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
11,55,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
12,05,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
12,54,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
13,04,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
13,53,-7,-0,32,0,64,0,36,-101,74,-116,27,-60,68,-93,05,90,-11,74
