part1
0,06;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
0,58;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
1,02;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
1,52;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
2,02;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
2,58;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
3,02;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
3,54;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
4,03;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
4,53;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
5,07;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
5,56;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
6,07;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
6,53;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
7,03;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
7,52;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
8,08;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
8,53;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
9,02;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
9,52;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
10,08;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
10,54;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
11,04;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
11,54;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
12,03;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
12,54;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
13,04;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
13,54;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
14,04;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
14,54;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
15,05;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
15,55;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
16,04;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
16,56;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
17,07;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,89;90;-16,08
17,57;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,68;-100,88;90;-16,08
18,01;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,88;90;-16,08
18,52;-7;-0,34;0,57;0,43;-106,08;-110,43;-58,69;-100,89;90;-16,08
